	nodes_synt	edges_synt	radius_synt	diameter_synt	average_clustering_synt	transitivity_synt	density_synt	degree_pearson_correlation_coefficien_syntt	nodes_flat	edges_flat	radius_flat	diameter_flat	average_clustering_flat	transitivity_flat	density_flat	degree_pearson_correlation_coefficient_flat	class
16058	14	27	3	5	0.6583333333333333	0.7058823529411765	1.0	0	14	31	3	6	0.7142857142857143	0.7674418604651163	1.0	0	fiction
16059	13	20	3	5	0.6164021164021164	0.6976744186046512	2.0	0.0	13	22	3	6	0.6333333333333333	0.7692307692307693	2.0	0.6179775280898877	fiction
16060	15	52	2	4	0.8055555555555555	0.8823529411764706	1.0	0.4	15	76	2	4	0.8047811447811448	0.8823529411764706	0.9333333333333333	0.03147699757869251	fiction
16061	15	44	3	5	0.7428571428571429	0.6818181818181818	2.0	0	15	59	5	9	0.7375132275132275	0.7063106796116505	2.0	0	fiction
16062	14	32	3	4	0.6125	0.5526315789473685	0.5714285714285714	0.0	14	40	3	6	0.7076190476190477	0.6634615384615384	0.6071428571428571	0.3076923076923077	fiction
16063	14	31	3	5	0.63	0.6	1.0	0.01458670988654785	14	38	4	8	0.7000000000000001	0.6057692307692307	1.3333333333333333	0.5336787564766841	fiction
16064	9	9	2	3	0.5833333333333333	0.6	1.0	0.0	9	10	3	5	0.5833333333333333	0.6	0.8333333333333334	0.11764705882352937	fiction
16065	13	25	2	4	0.7666666666666666	0.8823529411764706	0.8666666666666667	0.0	13	31	3	6	0.6115384615384615	0.5538461538461539	0.7333333333333333	0.21052631578947364	fiction
16066	15	40	3	6	0.7373626373626373	0.65625	2.0	0	15	52	5	9	0.7766233766233767	0.8	2.0	0	fiction
16067	11	19	2	4	0.6	0.5454545454545454	1.0	0.0	11	23	4	8	0.6626190476190476	0.6	1.3333333333333333	0.323943661971831	fiction
16068	13	25	2	4	0.5767195767195767	0.5333333333333333	1.0	0	13	28	4	8	0.6777777777777777	0.6	1.0	0	fiction
16069	14	24	3	6	0.7666666666666666	0.8823529411764706	2.0	0.0	14	32	4	8	0.7	0.8	2.0	0.31818181818181834	fiction
16070	14	34	3	5	0.7240079365079365	0.6666666666666666	1.0	0.09722222222222224	14	40	4	8	0.7461640211640211	0.6363636363636364	1.3333333333333333	0.6571428571428573	fiction
